TICKER,PRICE_DATE,CLOSING_PRICE,VOLUME,MARKET_CAP,INGESTED_AT
HD,2023-01-31,,,,2026-06-05 10:19:41.930
TGT,2023-01-31,,,,2026-06-05 10:19:41.930
NKE,2023-05-31,,,,2026-06-05 10:19:41.930
MCD,2023-12-31,,,,2026-06-05 10:19:41.930
AMZN,2023-12-31,,,,2026-06-05 10:19:41.930
MCD,2024-12-31,,,,2026-06-05 10:19:41.930
NKE,2024-05-31,,,,2026-06-05 10:19:41.930
AMZN,2024-12-31,,,,2026-06-05 10:19:41.930
HD,2024-01-31,,,,2026-06-05 10:19:41.930
TGT,2024-01-31,,,,2026-06-05 10:19:41.930
PEP,2021-12-31,,,,2026-06-05 10:19:41.930
PG,2021-06-30,,,,2026-06-05 10:19:41.930
KO,2021-12-31,,,,2026-06-05 10:19:41.930
COST,2021-08-31,,,,2026-06-05 10:19:41.930
COST,2025-08-31,,,,2026-06-05 10:19:41.930
WMT,2025-01-31,,,,2026-06-05 10:19:41.930
KO,2025-12-31,,,,2026-06-05 10:19:41.930
PG,2025-06-30,,,,2026-06-05 10:19:41.930
PEP,2025-12-31,,,,2026-06-05 10:19:41.930
WMT,2026-01-31,,,,2026-06-05 10:19:41.930
SLB,2023-12-31,,,,2026-06-05 10:19:41.930
COP,2023-12-31,,,,2026-06-05 10:19:41.930
HAL,2023-12-31,,,,2026-06-05 10:19:41.930
CVX,2023-12-31,,,,2026-06-05 10:19:41.930
VLO,2023-12-31,,,,2026-06-05 10:19:41.930
EOG,2023-12-31,,,,2026-06-05 10:19:41.930
XOM,2023-12-31,,,,2026-06-05 10:19:41.930
MPC,2023-12-31,,,,2026-06-05 10:19:41.930
PSX,2023-12-31,,,,2026-06-05 10:19:41.930
BLK,2022-12-31,,,,2026-06-05 10:19:41.930
BAC,2022-12-31,,,,2026-06-05 10:19:41.930
AXP,2022-12-31,,,,2026-06-05 10:19:41.930
JPM,2022-12-31,,,,2026-06-05 10:19:41.930
USB,2022-12-31,,,,2026-06-05 10:19:41.930
PNC,2022-12-31,,,,2026-06-05 10:19:41.930
GS,2022-12-31,,,,2026-06-05 10:19:41.930
MS,2022-12-31,,,,2026-06-05 10:19:41.930
C,2022-12-31,,,,2026-06-05 10:19:41.930
WFC,2022-12-31,,,,2026-06-05 10:19:41.930
BAC,2024-12-31,,,,2026-06-05 10:19:41.930
USB,2024-12-31,,,,2026-06-05 10:19:41.930
C,2024-12-31,,,,2026-06-05 10:19:41.930
WFC,2024-12-31,,,,2026-06-05 10:19:41.930
BLK,2024-12-31,,,,2026-06-05 10:19:41.930
AXP,2024-12-31,,,,2026-06-05 10:19:41.930
MS,2024-12-31,,,,2026-06-05 10:19:41.930
GS,2024-12-31,,,,2026-06-05 10:19:41.930
JPM,2024-12-31,,,,2026-06-05 10:19:41.930
PNC,2024-12-31,,,,2026-06-05 10:19:41.930
UNH,2022-12-31,,,,2026-06-05 10:19:41.930
ABT,2022-12-31,,,,2026-06-05 10:19:41.930
PFE,2022-12-31,,,,2026-06-05 10:19:41.930
DHR,2022-12-31,,,,2026-06-05 10:19:41.930
MRK,2022-12-31,,,,2026-06-05 10:19:41.930
GILD,2022-12-31,,,,2026-06-05 10:19:41.930
JNJ,2022-12-31,,,,2026-06-05 10:19:41.930
BMY,2022-12-31,,,,2026-06-05 10:19:41.930
TMO,2022-12-31,,,,2026-06-05 10:19:41.930
AMGN,2022-12-31,,,,2026-06-05 10:19:41.930
GOOGL,2021-12-31,,,,2026-06-05 10:19:41.930
META,2021-12-31,,,,2026-06-05 10:19:41.930
INTC,2021-12-31,,,,2026-06-05 10:19:41.930
MSFT,2021-06-30,,,,2026-06-05 10:19:41.930
AMD,2021-12-31,,,,2026-06-05 10:19:41.930
AAPL,2021-09-30,,,,2026-06-05 10:19:41.930
ADBE,2021-11-30,,,,2026-06-05 10:19:41.930
NVDA,2024-01-31,,,,2026-06-05 10:19:41.930
INTC,2024-12-31,,,,2026-06-05 10:19:41.930
ADBE,2024-11-30,,,,2026-06-05 10:19:41.930
MSFT,2024-06-30,,,,2026-06-05 10:19:41.930
META,2024-12-31,,,,2026-06-05 10:19:41.930
GOOGL,2024-12-31,,,,2026-06-05 10:19:41.930
AAPL,2024-09-30,,,,2026-06-05 10:19:41.930
ORCL,2024-05-31,,,,2026-06-05 10:19:41.930
CRM,2024-01-31,,,,2026-06-05 10:19:41.930
AMD,2024-12-31,,,,2026-06-05 10:19:41.930
INTC,2025-12-31,,,,2026-06-05 10:19:41.930
ADBE,2025-11-30,,,,2026-06-05 10:19:41.930
AMD,2025-12-31,,,,2026-06-05 10:19:41.930
AAPL,2025-09-30,,,,2026-06-05 10:19:41.930
MSFT,2025-06-30,,,,2026-06-05 10:19:41.930
CRM,2025-01-31,,,,2026-06-05 10:19:41.930
META,2025-12-31,,,,2026-06-05 10:19:41.930
GOOGL,2025-12-31,,,,2026-06-05 10:19:41.930
ORCL,2025-05-31,,,,2026-06-05 10:19:41.930
NVDA,2025-01-31,,,,2026-06-05 10:19:41.930
MCD,2022-12-31,,,,2026-06-05 10:19:41.930
HD,2022-01-31,,,,2026-06-05 10:19:41.930
AMZN,2022-12-31,,,,2026-06-05 10:19:41.930
